Target_1,Output_1,Target_2,Output_2,Target_3,Output_3,Target_4,Output_4,Target_5,Output_5,Target_6,Output_6,Target_7,Output_7,Target_8,Output_8,Target_9,Output_9,Target_10,Output_10,Target_11,Output_11
63,9,120,93,188,127,256,179,256,191,324,226,392,274,449,317,517,363,550,411,550,411
387,90,739,373,1158,553,1577,720,1577,772,1996,934,2415,1115,2767,1253,3186,1429,3400,1553,3400,1562
149,41,284,233,445,320,606,418,606,433,767,517,928,612,1063,663,1224,784,1300,885,1300,887
149,59,284,277,445,406,606,487,606,527,767,640,928,763,1063,855,1224,938,1300,981,1300,981
149,35,284,188,445,304,606,389,606,456,767,598,928,743,1063,852,1224,960,1300,1081,1300,1081
149,18,284,259,445,403,606,553,606,629,767,761,928,921,1063,1039,1224,1179,1300,1287,1300,1288
110,37,208,145,328,285,448,380,448,406,568,529,688,689,788,775,908,896,988,1027,988,1027
110,56,208,211,328,329,448,430,448,460,568,591,688,700,788,813,908,914,988,1011,988,1011
110,4,208,134,328,223,448,364,448,387,568,418,688,654,788,770,908,868,988,943,988,954
110,8,208,128,328,188,448,382,448,386,568,460,688,619,788,769,908,871,988,951,988,968
119,41,227,206,356,295,485,421,485,452,614,557,743,654,851,729,980,859,1050,906,1050,906
137,55,261,279,409,398,557,553,557,625,705,764,853,771,977,879,1125,1020,1200,1130,1200,1130
115,35,219,245,343,358,467,510,467,524,591,673,715,788,819,895,943,1071,1000,1112,1000,1112
217,48,414,317,649,560,884,778,884,908,1119,1143,1354,1285,1551,1488,1786,1734,1900,1825,1900,1825
217,25,414,380,649,541,884,675,884,998,1119,1121,1354,1210,1551,1317,1786,1747,1900,1920,1900,1920
217,118,414,500,649,654,884,826,884,888,1119,1184,1354,1459,1551,1608,1786,1787,1900,1902,1900,1902
217,70,414,408,649,548,884,718,884,803,1119,944,1354,1195,1551,1464,1786,1695,1900,1876,1900,1879
387,2513,739,2708,1158,2892,1577,3068,1577,3189,1996,3384,2415,3594,2767,3810,3186,4029,3400,4165,3400,4165
149,146,284,252,445,350,606,505,606,559,767,715,928,800,1063,956,1224,1071,1300,1286,1300,1325
149,79,284,230,445,365,606,534,606,557,767,774,928,962,1063,1101,1224,1250,1300,1320,1300,1320
137,136,261,279,409,415,557,549,557,569,705,698,853,819,977,923,1125,1054,1200,1113,1200,1113
137,68,261,138,409,274,557,409,557,426,705,540,853,541,977,544,1125,545,1200,549,1200,549
137,145,261,297,409,508,557,643,557,727,705,829,853,1019,977,1167,1125,1172,1200,1264,1200,1264
364,166,693,290,1089,503,1485,743,1485,809,1881,1032,2277,1212,2606,1349,3002,1474,3400,1629,3400,1659
364,262,693,549,1089,800,1485,1077,1485,1251,1881,1480,2277,1717,2606,1875,3002,2124,3400,2360,3400,2388
364,366,693,721,1089,1134,1485,1468,1485,1635,1881,2069,2277,2386,2606,2776,3002,3159,3400,3280,3400,3280
364,416,693,750,1089,1095,1485,1445,1485,1572,1881,1889,2277,2250,2606,2655,3002,3054,3400,3387,3400,40
239,214,456,503,715,707,974,931,974,1018,1233,1273,1492,1503,1709,1656,1968,1694,2100,1694,2100,1694
239,287,456,522,715,767,974,1033,974,1146,1233,1389,1492,1646,1709,1907,1968,2146,2100,2459,2100,2459
239,250,456,550,715,800,974,1000,974,1100,1233,1351,1492,1551,1709,1851,1968,2050,2100,2201,2100,2201
239,174,456,457,715,671,974,904,974,1052,1233,1236,1492,1461,1709,1587,1968,1702,2100,1723,2100,1723
239,211,456,411,715,667,974,869,974,926,1233,1138,1492,1292,1709,1468,1968,1478,2100,1482,2100,1482
188,72,358,430,561,581,764,761,764,816,967,947,1170,1268,1340,1333,1543,1472,1650,1700,1650,1700
188,79,358,355,561,468,764,528,764,575,967,617,1170,1118,1340,1320,1543,1399,1650,1704,1650,1713
