granularity,candidate_label,status,difference_order,transform_name,training_smoothing_window,lookback_duration,lookback_steps,horizon_duration,horizon_steps,train_windows,test_windows
raw,raw_d0_smooth_none,windows_prepared,0,level,none,10min,120,1step,1,69000,17160
raw,raw_d0_smooth_30s,windows_prepared,0,level,30s,10min,120,1step,1,68995,17160
raw,raw_d1_smooth_none,windows_prepared,1,first_difference,none,10min,120,1step,1,68999,17159
raw,raw_d1_smooth_30s,windows_prepared,1,first_difference,30s,10min,120,1step,1,68994,17159
raw,raw_d2_smooth_none,windows_prepared,2,second_difference,none,10min,120,1step,1,68998,17158
raw,raw_d2_smooth_30s,windows_prepared,2,second_difference,30s,10min,120,1step,1,68993,17158
30s,30s_d0_smooth_none,windows_prepared,0,level,none,10min,20,1step,1,11500,2860
30s,30s_d0_smooth_1min,windows_prepared,0,level,1min,10min,20,1step,1,11499,2860
30s,30s_d1_smooth_none,windows_prepared,1,first_difference,none,10min,20,1step,1,11499,2859
30s,30s_d1_smooth_1min,windows_prepared,1,first_difference,1min,10min,20,1step,1,11498,2859
30s,30s_d2_smooth_none,windows_prepared,2,second_difference,none,10min,20,1step,1,11498,2858
30s,30s_d2_smooth_1min,windows_prepared,2,second_difference,1min,10min,20,1step,1,11497,2858
1min,1min_d0_smooth_none,windows_prepared,0,level,none,10min,10,1step,1,5750,1430
1min,1min_d0_smooth_2min,windows_prepared,0,level,2min,10min,10,1step,1,5749,1430
1min,1min_d1_smooth_none,windows_prepared,1,first_difference,none,10min,10,1step,1,5749,1429
1min,1min_d1_smooth_2min,windows_prepared,1,first_difference,2min,10min,10,1step,1,5748,1429
1min,1min_d2_smooth_none,windows_prepared,2,second_difference,none,10min,10,1step,1,5748,1428
1min,1min_d2_smooth_2min,windows_prepared,2,second_difference,2min,10min,10,1step,1,5747,1428
