granularity,candidate_label,status,difference_order,transform_name,training_smoothing_window,lookback_duration,lookback_steps,horizon_duration,horizon_steps,train_windows,test_windows
raw,raw_d0_smooth_none,windows_prepared,0,level,none,3min,36,1step,1,69084,17244
raw,raw_d0_smooth_30s,windows_prepared,0,level,30s,3min,36,1step,1,69079,17244
raw,raw_d1_smooth_none,windows_prepared,1,first_difference,none,3min,36,1step,1,69083,17243
raw,raw_d1_smooth_30s,windows_prepared,1,first_difference,30s,3min,36,1step,1,69078,17243
raw,raw_d2_smooth_none,windows_prepared,2,second_difference,none,3min,36,1step,1,69082,17242
raw,raw_d2_smooth_30s,windows_prepared,2,second_difference,30s,3min,36,1step,1,69077,17242
30s,30s_d0_smooth_none,windows_prepared,0,level,none,3min,6,1step,1,11514,2874
30s,30s_d0_smooth_1min,windows_prepared,0,level,1min,3min,6,1step,1,11513,2874
30s,30s_d1_smooth_none,windows_prepared,1,first_difference,none,3min,6,1step,1,11513,2873
30s,30s_d1_smooth_1min,windows_prepared,1,first_difference,1min,3min,6,1step,1,11512,2873
30s,30s_d2_smooth_none,windows_prepared,2,second_difference,none,3min,6,1step,1,11512,2872
30s,30s_d2_smooth_1min,windows_prepared,2,second_difference,1min,3min,6,1step,1,11511,2872
1min,1min_d0_smooth_none,windows_prepared,0,level,none,3min,3,1step,1,5757,1437
1min,1min_d0_smooth_2min,windows_prepared,0,level,2min,3min,3,1step,1,5756,1437
1min,1min_d1_smooth_none,windows_prepared,1,first_difference,none,3min,3,1step,1,5756,1436
1min,1min_d1_smooth_2min,windows_prepared,1,first_difference,2min,3min,3,1step,1,5755,1436
1min,1min_d2_smooth_none,windows_prepared,2,second_difference,none,3min,3,1step,1,5755,1435
1min,1min_d2_smooth_2min,windows_prepared,2,second_difference,2min,3min,3,1step,1,5754,1435
