granularity,candidate_label,status,difference_order,transform_name,training_smoothing_window,lookback_duration,lookback_steps,horizon_duration,horizon_steps,train_windows,test_windows
raw,raw_d0_smooth_none,windows_prepared,0,level,none,3min,36,3min,36,69049,17209
raw,raw_d0_smooth_30s,windows_prepared,0,level,30s,3min,36,3min,36,69044,17209
raw,raw_d1_smooth_none,windows_prepared,1,first_difference,none,3min,36,3min,36,69048,17208
raw,raw_d1_smooth_30s,windows_prepared,1,first_difference,30s,3min,36,3min,36,69043,17208
raw,raw_d2_smooth_none,windows_prepared,2,second_difference,none,3min,36,3min,36,69047,17207
raw,raw_d2_smooth_30s,windows_prepared,2,second_difference,30s,3min,36,3min,36,69042,17207
30s,30s_d0_smooth_none,windows_prepared,0,level,none,3min,6,3min,6,11509,2869
30s,30s_d0_smooth_1min,windows_prepared,0,level,1min,3min,6,3min,6,11508,2869
30s,30s_d1_smooth_none,windows_prepared,1,first_difference,none,3min,6,3min,6,11508,2868
30s,30s_d1_smooth_1min,windows_prepared,1,first_difference,1min,3min,6,3min,6,11507,2868
30s,30s_d2_smooth_none,windows_prepared,2,second_difference,none,3min,6,3min,6,11507,2867
30s,30s_d2_smooth_1min,windows_prepared,2,second_difference,1min,3min,6,3min,6,11506,2867
1min,1min_d0_smooth_none,windows_prepared,0,level,none,3min,3,3min,3,5755,1435
1min,1min_d0_smooth_2min,windows_prepared,0,level,2min,3min,3,3min,3,5754,1435
1min,1min_d1_smooth_none,windows_prepared,1,first_difference,none,3min,3,3min,3,5754,1434
1min,1min_d1_smooth_2min,windows_prepared,1,first_difference,2min,3min,3,3min,3,5753,1434
1min,1min_d2_smooth_none,windows_prepared,2,second_difference,none,3min,3,3min,3,5753,1433
1min,1min_d2_smooth_2min,windows_prepared,2,second_difference,2min,3min,3,3min,3,5752,1433
