date,variable_count,variables
2022-03-31 16:33:54,6,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:33:29,6,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:34:44,6,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:35:29,6,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:34:29,6,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:34:34,6,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:34:54,6,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:34:59,6,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:35:14,6,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:35:44,6,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:35:49,6,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:35:54,6,PT_8313C.AV_0#; TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:36:19,6,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:36:39,6,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:32:09,5,TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:32:24,5,TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:32:44,5,TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:32:49,5,TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:33:09,5,TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:33:24,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:33:34,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:33:39,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:33:49,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:33:59,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:34:04,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:34:09,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:33:44,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:34:19,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:34:24,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-30 21:24:44,5,PTCA_8322A.AV_0#; PT_8313C.AV_0#; SXLTCYZ.AV_0#; TE_8332A.AV_0#; YFJ3_ZD2.AV_0#
2022-03-31 06:15:29,5,PTCA_8322A.AV_0#; TE_8313B.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:34:39,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:34:14,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:34:49,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 06:15:39,5,PTCA_8322A.AV_0#; TE_8313B.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-28 19:26:14,5,AIR_8301A.AV_0#; FT_8301.AV_0#; PT_8313C.AV_0#; SXLTCYZ.AV_0#; YFJ3_AI.AV_0#
2022-03-31 16:35:04,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:35:09,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-29 06:06:14,5,AIR_8301A.AV_0#; PT_8313C.AV_0#; SXLTCYZ.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#
2022-03-31 16:35:19,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:35:24,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:35:34,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:35:39,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:27:29,5,PT_8313C.AV_0#; TE_8313B.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:27:34,5,PT_8313C.AV_0#; SXLTCYZ.AV_0#; TE_8313B.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:31:39,5,TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:36:04,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:36:09,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:36:14,5,TE_8303.AV_0#; TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; ZZQBCHLL.AV_0#
2022-03-31 16:31:44,5,TE_8313B.AV_0#; TE_8319A.AV_0#; YFJ3_AI.AV_0#; YFJ3_ZD2.AV_0#; ZZQBCHLL.AV_0#
