window_start,event_count,variable_count
2022-03-31 16:30:00,261,6
2022-03-31 16:35:00,216,7
2022-03-31 16:25:00,197,6
2022-03-30 07:45:00,195,4
2022-03-31 11:55:00,165,4
2022-03-30 07:40:00,163,4
2022-03-30 05:50:00,153,5
2022-03-31 06:10:00,146,4
2022-03-30 06:15:00,141,4
2022-03-30 12:25:00,141,6
2022-03-30 05:45:00,141,4
2022-03-30 21:25:00,139,5
2022-03-30 05:55:00,139,4
2022-03-30 05:30:00,129,4
2022-03-30 22:50:00,129,4
2022-03-28 15:25:00,123,4
2022-03-30 23:05:00,122,3
2022-03-30 11:25:00,122,5
2022-03-31 11:50:00,122,4
2022-03-30 23:00:00,121,4
