candidate_label,granularity,difference_order,transform_name,training_smoothing_window,hidden_units,learning_rate_init,max_iter,validation_mae,validation_rmse,test_mae,test_rmse,warning_count,warnings
30s_d0_smooth_none,30s,0,level,none,20,0.001,5000,6.07012183221835,7.760721778308007,5.7186001768689865,7.367863903187026,0,
30s_d0_smooth_none,30s,0,level,none,20,0.005,5000,5.946002422856722,7.621331792065057,5.574129382377737,7.215077224910021,0,
30s_d0_smooth_none,30s,0,level,none,20,0.01,5000,5.8684386555693,7.527463082282395,5.508154898182881,7.142733488248832,0,
30s_d0_smooth_30s,30s,0,level,30s,20,0.001,5000,6.07012183221835,7.760721778308007,5.7186001768689865,7.367863903187026,0,
30s_d0_smooth_30s,30s,0,level,30s,20,0.005,5000,5.946002422856722,7.621331792065057,5.574129382377737,7.215077224910021,0,
30s_d0_smooth_30s,30s,0,level,30s,20,0.01,5000,5.8684386555693,7.527463082282395,5.508154898182881,7.142733488248832,0,
30s_d0_smooth_1min,30s,0,level,1min,20,0.001,5000,6.072240274249621,7.763130024445968,5.71948734744391,7.37011658156429,0,
30s_d0_smooth_1min,30s,0,level,1min,20,0.005,5000,5.948818268141865,7.626656551774817,5.580871517164811,7.226607565741862,0,
30s_d0_smooth_1min,30s,0,level,1min,20,0.01,5000,5.8590823508071095,7.515384774842706,5.50484875655879,7.138231398279821,0,
30s_d1_smooth_none,30s,1,first_difference,none,20,0.001,5000,1.5698409801243418,1.9546958372043777,1.558836418242005,1.9583304612936023,0,
30s_d1_smooth_none,30s,1,first_difference,none,20,0.005,5000,1.2620167429124896,1.5912833022280028,1.2636178212916025,1.596799766926098,0,
30s_d1_smooth_none,30s,1,first_difference,none,20,0.01,5000,1.2283928073528299,1.5496610661351558,1.2308213144615572,1.5538613797596919,0,
30s_d1_smooth_30s,30s,1,first_difference,30s,20,0.001,5000,1.5698409801243418,1.9546958372043777,1.558836418242005,1.9583304612936023,0,
30s_d1_smooth_30s,30s,1,first_difference,30s,20,0.005,5000,1.2620167429124896,1.5912833022280028,1.2636178212916025,1.596799766926098,0,
30s_d1_smooth_30s,30s,1,first_difference,30s,20,0.01,5000,1.2283928073528299,1.5496610661351558,1.2308213144615572,1.5538613797596919,0,
